duration_ms,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,top100
39813,0.506,0.0494,-13.16,0.0448,0.957,0.115,0.436,136.173,0
39880,0.263,0.843,-6.405,0.061,1.95E-06,0.147,0.97,145.422,0
40000,0.72,0.85,-3.939,0.0936,0.0827,0.113,0.405,95.519,0
40040,0.516,0.515,-12.035,0.215,0.379,0.103,0.524,169.039,0
40053,0.583,0.629,-6.348,0.0389,0.513,0.32,0.96,208.192,0
40125,0.472,0.66,-14.188,0.539,0.75,0.849,0.935,128.169,0
40213,0.39,0.87,-9.744,0.0419,0.00108,0.0588,0.346,91.903,0
40226,0.31,0.964,-8.991,0.0981,0.000423,0.145,0.0635,116.899,0
40240,0.463,0.991,-2.074,0.183,0.000133,0.263,0.419,197.167,0
40263,0.806,0.423,-4.912,0.0399,0.524,0.195,0.897,180.011,0
40266,0.283,0.0409,-20.468,0.0412,0.969,0.101,0.26,122.183,0
40402,0.854,0.434,-6.087,0.347,0.788,0.0751,0.709,60.02,0
40533,0.334,0.0551,-18.918,0.0491,0.862,0.119,0.448,164.618,0
40704,0.93,0.463,-6.302,0.319,0.88,0.107,0.761,125.009,0
40760,0.585,0.23,-18.558,0.0613,0.92,0.618,0.603,118.823,0
40880,0.721,0.196,-17.54,0.114,0.907,0.103,0.283,80.553,0
40893,0.431,0.941,-5.453,0.0802,0.0395,0.0791,0.765,171.764,0
41181,0.565,0.524,-12.296,0.171,0.912,0.297,0.408,90.862,0
41308,0.949,0.558,-7.613,0.0593,0.719,0.0845,0.85,99.994,0
41400,0.25,0.192,-19.978,0.0357,0.988,0.439,0.258,83.497,0
41600,0.584,0.977,-3.418,0.0372,0.00333,0.27,0.0375,77.266,0
41733,0.468,0.247,-10.09,0.0356,0.76,0.101,0.218,92.034,0
41829,0.367,0.152,-19.608,0.0325,0.989,0.124,0.656,138.581,0
41904,0.136,0.116,-22.585,0.0485,0.828,0.119,0.221,79.102,0
42000,0.703,0.64,-3.45,0.0381,0.354,0.0586,0.908,120.003,0
42000,0.736,0.638,-2.999,0.0387,0.423,0.0603,0.939,120.05,0
42000,0.521,0.143,-16.338,0.0493,0.971,0.177,0.721,152.807,0
42136,0.545,1,-4.601,0.201,0.0393,0.266,0.0546,134.064,0
42146,0.89,0.0801,-14.313,0.0681,0.988,0.0865,0.818,100.101,0
42346,0.699,0.106,-16.431,0.389,0.727,0.103,0.674,126.69,0
42466,0.711,0.63,-6.591,0.238,0.451,0.129,0.851,119.027,0
42586,0.534,0.15,-14.58,0.0422,0.984,0.248,0.53,84.359,0
42586,0.42,0.879,-5.1,0.315,0.762,0.174,0.664,178.746,0
42826,0.543,0.0657,-22.988,0.0401,0.954,0.119,0.579,130.447,0
42840,0.299,0.145,-17.338,0.0345,0.911,0.18,0.279,80.254,0
42933,0.382,0.0399,-19.078,0.0439,0.993,0.0648,0.724,88.768,0
43146,0.52,0.316,-13.493,0.0492,0.901,0.12,0.326,72.278,0
43266,0.463,0.687,-8.177,0.18,0.357,0.0824,0.97,177.545,0
43586,0.367,0.175,-19.716,0.0428,0.974,0.232,0.816,74.077,0
43666,0.538,0.0733,-22.872,0.0719,0.992,0.0884,0.676,107.567,0
43676,0.964,0.169,-20.19,0.17,0.776,0.0783,0.798,110.109,0
43699,0.948,0.441,-6.75,0.0687,0.608,0.253,0.839,100.142,0
43706,0.526,0.817,-18.447,0.932,0.702,0.904,0.0841,84.584,0
43840,0.444,0.759,-6.709,0.515,0.0533,0.353,0.232,177.911,0
44040,0.716,0.713,-4.557,0.0825,0.294,0.2,0.979,89.905,0
44094,0.933,0.833,-4.066,0.333,0.305,0.306,0.966,109.965,0
44094,0.957,0.703,-9.07,0.098,0.425,0.0911,0.431,109.969,0
44117,0.262,0.933,-6.545,0.0811,8.97E-05,0.505,0.844,205.497,0
44293,0.511,0.169,-16.233,0.0492,0.808,0.142,0.326,77.084,0
44360,0.638,0.231,-12.541,0.0618,0.96,0.092,0.654,109.022,0
44375,0.546,0.251,-14.804,0.0427,0.739,0.115,0.807,139.903,0
44698,0.56,0.634,-8.803,0.031,0.435,0.0983,0.465,94.024,0
44828,0.771,0.763,-8.255,0.0481,0.556,0.29,0.281,118.948,0
44893,0.674,0.844,-7.022,0.362,0.877,0.882,0.742,120.213,0
44909,0.396,0.176,-17.66,0.0315,0.975,0.136,0.496,65.354,0
44910,0.577,0.632,-8.207,0.301,0.0969,0.244,0.683,135.43,0
44920,0.311,0.914,-8.082,0.0654,0.000777,0.833,0.377,138.035,0
45053,0.919,0.642,-8.598,0.0417,0.147,0.029,0.977,133.04,0
45055,0.843,0.579,-7.505,0.352,0.278,0.384,0.395,141.73,0
45116,0.897,0.274,-7.925,0.121,0.156,0.0585,0.965,149.972,0
45453,0.612,0.522,-17.336,0.924,0.932,0.723,0.386,123.933,0
45532,0.637,0.022,-26.353,0.0525,0.995,0.126,0.193,89.78,0
45560,0.468,0.328,-17.645,0.0362,0.866,0.269,0.776,131.29,0
45613,0.331,0.584,-7.418,0.0782,0.000411,0.0616,0.56,67.96,0
45706,0.787,0.834,-10.049,0.391,0.699,0.0721,0.787,105.71,0
45714,0.269,0.142,-23.695,0.0509,0.866,0.114,0.321,67.872,0
45714,0.144,0.12,-23.212,0.0484,0.811,0.117,0.265,71.542,0
45714,0.18,0.0968,-22.729,0.0478,0.863,0.12,0.388,80.867,0
45760,0.342,0.0606,-25.502,0.0449,0.938,0.296,0.202,65.399,0
45853,0.165,0.034,-22.32,0.0423,0.923,0.329,0.202,177.048,0
45882,0.169,0.166,-19.503,0.043,0.936,0.123,0.0392,110.718,0
45920,0.168,0.388,-11.983,0.04,0.792,0.282,0.045,90.142,0
46253,0.74,0.846,-6.163,0.103,0.07,0.184,0.854,95.991,0
46412,0.317,0.917,-11.468,0.059,1.84E-05,0.278,0.526,98.015,0
46440,0.658,0.419,-14.398,0.199,0.546,0.621,0.542,100.573,0
46534,0.584,0.933,-3.924,0.118,0.000586,0.26,0.174,106.228,0
46753,0.663,0.865,-8.28,0.294,0.558,0.712,0.241,78.294,0
46773,0.497,0.185,-9.924,0.113,0.819,0.128,0.517,199.422,0
46813,0.947,0.653,-5.569,0.0523,0.521,0.0921,0.848,120.476,0
46840,0.557,0.888,-3.847,0.268,0.422,0.261,0.751,71.627,0
46960,0.527,0.874,-2.34,0.059,0.671,0.449,0.813,149.383,0
47000,0.661,0.042,-29.017,0.0433,0.976,0.114,0.575,82.314,0
47360,0.61,0.432,-16.001,0.926,0.857,0.981,0.88,97.475,0
47661,0.738,0.626,-3.661,0.279,0.000585,0.11,0.569,159.991,0
47943,0.647,0.115,-16.826,0.0544,0.751,0.0858,0.597,131.508,0
48000,0.225,0.619,-24.157,0.11,1.21E-06,0.329,0.066,95.151,0
48000,0.641,0.115,-29.441,0.0649,0.949,0.269,0.839,113.099,0
48013,0.499,0.671,-10.453,0.0383,0.335,0.288,0.864,99.94,0
48093,0.774,0.84,-4.896,0.0552,0.412,0.205,0.205,118.902,0
48325,0.182,0.725,-8.504,0.0356,0.205,0.302,0.778,143.151,0
48333,0.302,0.934,-5.116,0.13,3.47E-05,0.265,0.0652,116.578,0
48373,0.691,0.626,-6.105,0.0287,0.311,0.0849,0.964,79.669,0
48381,0.952,0.322,-11.807,0.0462,0.38,0.173,0.983,107.895,0
48422,0.746,0.338,-13.472,0.109,0.674,0.529,0.469,120.053,0
48466,0.161,0.0459,-29.584,0.0372,0.678,0.148,0.152,70.074,0
48506,0.308,0.701,-11.793,0.0733,0.0933,0.236,0.368,129.264,0
48506,0.771,0.289,-7.391,0.302,0.898,0.066,0.648,199.621,0
48626,0.391,0.0316,-30.715,0.0444,0.911,0.0607,0.446,130.32,0
48695,0.66,0.917,-6.56,0.215,0.068,0.683,0.74,138.065,0
48750,0.82,0.385,-9.019,0.0307,0.63,0.113,0.654,92.045,0
48773,0.293,0.697,-6.473,0.458,0.404,0.222,0.568,217.228,0
48835,0.348,0.158,-27.883,0.0407,0.978,0.108,0.961,129.514,0
48960,0.372,0.0183,-31.907,0.0512,0.994,0.196,0.369,133.748,0
49160,0.489,0.714,-5.022,0.04,0.117,0.314,0.485,149.877,0
49306,0.557,0.246,-10.354,0.066,0.937,0.138,0.529,83.096,0
49423,0.793,0.638,-4.858,0.0365,0.0561,0.0898,0.906,110,0
49523,0.132,0.116,-23.457,0.0461,0.902,0.126,0.217,92.325,0
49523,0.29,0.129,-23.333,0.055,0.733,0.113,0.182,92.904,0
49523,0.265,0.124,-23.395,0.0456,0.809,0.114,0.371,100.861,0
49523,0.199,0.118,-23.407,0.0546,0.608,0.118,0.164,123.353,0
